Batch Index,Subject IDs
0,"BraTS20_Training_352,BraTS20_Training_041,BraTS20_Training_274,BraTS20_Training_354"
1,"BraTS20_Training_055,BraTS20_Training_150,BraTS20_Training_005,BraTS20_Training_237"
2,"BraTS20_Training_038,BraTS20_Training_019,BraTS20_Training_021,BraTS20_Training_082"
3,"BraTS20_Training_015,BraTS20_Training_161,BraTS20_Training_190,BraTS20_Training_360"
4,"BraTS20_Training_036,BraTS20_Training_202,BraTS20_Training_048,BraTS20_Training_363"
5,"BraTS20_Training_322,BraTS20_Training_291,BraTS20_Training_059,BraTS20_Training_355"
6,"BraTS20_Training_243,BraTS20_Training_351,BraTS20_Training_187,BraTS20_Training_253"
7,"BraTS20_Training_244,BraTS20_Training_232,BraTS20_Training_248,BraTS20_Training_213"
8,"BraTS20_Training_144,BraTS20_Training_108,BraTS20_Training_255,BraTS20_Training_310"
9,"BraTS20_Training_218,BraTS20_Training_245,BraTS20_Training_118,BraTS20_Training_023"
10,"BraTS20_Training_194,BraTS20_Training_332,BraTS20_Training_216,BraTS20_Training_230"
11,"BraTS20_Training_317,BraTS20_Training_183,BraTS20_Training_151,BraTS20_Training_228"
12,"BraTS20_Training_320,BraTS20_Training_086,BraTS20_Training_188,BraTS20_Training_101"
13,"BraTS20_Training_081,BraTS20_Training_339,BraTS20_Training_259,BraTS20_Training_066"
14,"BraTS20_Training_050,BraTS20_Training_071,BraTS20_Training_123,BraTS20_Training_135"
15,"BraTS20_Training_313,BraTS20_Training_088,BraTS20_Training_010,BraTS20_Training_104"
16,"BraTS20_Training_308,BraTS20_Training_203,BraTS20_Training_145,BraTS20_Training_132"
17,"BraTS20_Training_158,BraTS20_Training_121,BraTS20_Training_185,BraTS20_Training_100"
18,"BraTS20_Training_044,BraTS20_Training_361,BraTS20_Training_027,BraTS20_Training_303"
19,"BraTS20_Training_045,BraTS20_Training_186,BraTS20_Training_052,BraTS20_Training_214"
20,"BraTS20_Training_013,BraTS20_Training_061,BraTS20_Training_211,BraTS20_Training_153"
21,"BraTS20_Training_266,BraTS20_Training_287,BraTS20_Training_298,BraTS20_Training_246"
22,"BraTS20_Training_256,BraTS20_Training_272,BraTS20_Training_120,BraTS20_Training_304"
23,"BraTS20_Training_106,BraTS20_Training_286,BraTS20_Training_356,BraTS20_Training_173"
24,"BraTS20_Training_297,BraTS20_Training_062,BraTS20_Training_325,BraTS20_Training_207"
25,"BraTS20_Training_008,BraTS20_Training_247,BraTS20_Training_206,BraTS20_Training_336"
26,"BraTS20_Training_035,BraTS20_Training_269,BraTS20_Training_357,BraTS20_Training_223"
27,"BraTS20_Training_148,BraTS20_Training_128,BraTS20_Training_282,BraTS20_Training_199"
28,"BraTS20_Training_350,BraTS20_Training_191,BraTS20_Training_254,BraTS20_Training_278"
29,"BraTS20_Training_170,BraTS20_Training_051,BraTS20_Training_189,BraTS20_Training_337"
30,"BraTS20_Training_137,BraTS20_Training_129,BraTS20_Training_162,BraTS20_Training_261"
31,"BraTS20_Training_054,BraTS20_Training_166,BraTS20_Training_238,BraTS20_Training_258"
32,"BraTS20_Training_242,BraTS20_Training_014,BraTS20_Training_250,BraTS20_Training_364"
33,"BraTS20_Training_074,BraTS20_Training_142,BraTS20_Training_064,BraTS20_Training_296"
34,"BraTS20_Training_140,BraTS20_Training_171,BraTS20_Training_268,BraTS20_Training_111"
35,"BraTS20_Training_267,BraTS20_Training_084,BraTS20_Training_160,BraTS20_Training_275"
36,"BraTS20_Training_136,BraTS20_Training_341,BraTS20_Training_342,BraTS20_Training_003"
37,"BraTS20_Training_138,BraTS20_Training_072,BraTS20_Training_180,BraTS20_Training_198"
38,"BraTS20_Training_032,BraTS20_Training_156,BraTS20_Training_283,BraTS20_Training_365"
39,"BraTS20_Training_126,BraTS20_Training_224,BraTS20_Training_069,BraTS20_Training_295"
40,"BraTS20_Training_091,BraTS20_Training_131,BraTS20_Training_070,BraTS20_Training_315"
41,"BraTS20_Training_096,BraTS20_Training_262,BraTS20_Training_305,BraTS20_Training_097"
42,"BraTS20_Training_172,BraTS20_Training_212,BraTS20_Training_316,BraTS20_Training_338"
43,"BraTS20_Training_279,BraTS20_Training_068,BraTS20_Training_167,BraTS20_Training_300"
44,"BraTS20_Training_092,BraTS20_Training_175,BraTS20_Training_049,BraTS20_Training_226"
45,"BraTS20_Training_321,BraTS20_Training_087,BraTS20_Training_174,BraTS20_Training_265"
46,"BraTS20_Training_192,BraTS20_Training_205,BraTS20_Training_089,BraTS20_Training_306"
47,"BraTS20_Training_103,BraTS20_Training_241,BraTS20_Training_293,BraTS20_Training_345"
48,"BraTS20_Training_281,BraTS20_Training_116,BraTS20_Training_149,BraTS20_Training_169"
49,"BraTS20_Training_284,BraTS20_Training_177,BraTS20_Training_209,BraTS20_Training_163"
50,"BraTS20_Training_215,BraTS20_Training_176,BraTS20_Training_368,BraTS20_Training_179"
51,"BraTS20_Training_271,BraTS20_Training_002,BraTS20_Training_234,BraTS20_Training_133"
52,"BraTS20_Training_080,BraTS20_Training_130,BraTS20_Training_200,BraTS20_Training_319"
53,"BraTS20_Training_007,BraTS20_Training_333,BraTS20_Training_289,BraTS20_Training_053"
54,"BraTS20_Training_292,BraTS20_Training_093,BraTS20_Training_039,BraTS20_Training_012"
55,"BraTS20_Training_201,BraTS20_Training_146,BraTS20_Training_033,BraTS20_Training_029"
56,"BraTS20_Training_208,BraTS20_Training_301,BraTS20_Training_122,BraTS20_Training_314"
57,"BraTS20_Training_331,BraTS20_Training_330,BraTS20_Training_270,BraTS20_Training_099"
58,"BraTS20_Training_164,BraTS20_Training_107,BraTS20_Training_030,BraTS20_Training_217"
59,"BraTS20_Training_340,BraTS20_Training_152,BraTS20_Training_318,BraTS20_Training_263"
60,"BraTS20_Training_113,BraTS20_Training_184,BraTS20_Training_168,BraTS20_Training_124"
61,"BraTS20_Training_309,BraTS20_Training_028,BraTS20_Training_037,BraTS20_Training_105"
62,"BraTS20_Training_098,BraTS20_Training_219,BraTS20_Training_181,BraTS20_Training_264"
63,"BraTS20_Training_042,BraTS20_Training_277,BraTS20_Training_020,BraTS20_Training_063"
64,"BraTS20_Training_353,BraTS20_Training_022"
