Batch Index,Subject IDs
0,"BraTS20_Training_133,BraTS20_Training_228"
1,"BraTS20_Training_151,BraTS20_Training_293"
2,"BraTS20_Training_031,BraTS20_Training_079"
3,"BraTS20_Training_325,BraTS20_Training_032"
4,"BraTS20_Training_004,BraTS20_Training_014"
5,"BraTS20_Training_091,BraTS20_Training_048"
6,"BraTS20_Training_230,BraTS20_Training_114"
7,"BraTS20_Training_367,BraTS20_Training_253"
8,"BraTS20_Training_322,BraTS20_Training_353"
9,"BraTS20_Training_086,BraTS20_Training_058"
10,"BraTS20_Training_338,BraTS20_Training_083"
11,"BraTS20_Training_361,BraTS20_Training_168"
12,"BraTS20_Training_170,BraTS20_Training_184"
13,"BraTS20_Training_106,BraTS20_Training_156"
14,"BraTS20_Training_314,BraTS20_Training_085"
15,"BraTS20_Training_036,BraTS20_Training_225"
16,"BraTS20_Training_344,BraTS20_Training_212"
17,"BraTS20_Training_288,BraTS20_Training_209"
18,"BraTS20_Training_166,BraTS20_Training_129"
19,"BraTS20_Training_177,BraTS20_Training_104"
20,"BraTS20_Training_369,BraTS20_Training_124"
21,"BraTS20_Training_088,BraTS20_Training_289"
22,"BraTS20_Training_312,BraTS20_Training_258"
23,"BraTS20_Training_087,BraTS20_Training_256"
24,"BraTS20_Training_173,BraTS20_Training_274"
25,"BraTS20_Training_278,BraTS20_Training_233"
26,"BraTS20_Training_012,BraTS20_Training_217"
27,"BraTS20_Training_013,BraTS20_Training_261"
28,"BraTS20_Training_094,BraTS20_Training_236"
29,"BraTS20_Training_349,BraTS20_Training_219"
30,"BraTS20_Training_272,BraTS20_Training_304"
31,"BraTS20_Training_226,BraTS20_Training_039"
32,"BraTS20_Training_135,BraTS20_Training_006"
33,"BraTS20_Training_157,BraTS20_Training_271"
34,"BraTS20_Training_202,BraTS20_Training_063"
35,"BraTS20_Training_368,BraTS20_Training_100"
36,"BraTS20_Training_155,BraTS20_Training_303"
37,"BraTS20_Training_131,BraTS20_Training_281"
38,"BraTS20_Training_075,BraTS20_Training_337"
39,"BraTS20_Training_357,BraTS20_Training_276"
40,"BraTS20_Training_034,BraTS20_Training_099"
41,"BraTS20_Training_128,BraTS20_Training_329"
42,"BraTS20_Training_222,BraTS20_Training_122"
43,"BraTS20_Training_130,BraTS20_Training_054"
44,"BraTS20_Training_093,BraTS20_Training_040"
45,"BraTS20_Training_044,BraTS20_Training_060"
46,"BraTS20_Training_250,BraTS20_Training_213"
47,"BraTS20_Training_191,BraTS20_Training_045"
48,"BraTS20_Training_022,BraTS20_Training_268"
49,"BraTS20_Training_359,BraTS20_Training_046"
50,"BraTS20_Training_001,BraTS20_Training_201"
51,"BraTS20_Training_067,BraTS20_Training_327"
52,"BraTS20_Training_147,BraTS20_Training_103"
53,"BraTS20_Training_028,BraTS20_Training_107"
54,"BraTS20_Training_366,BraTS20_Training_115"
55,"BraTS20_Training_350,BraTS20_Training_069"
56,"BraTS20_Training_077,BraTS20_Training_043"
